kind	group	label	selected
方向性	WORK	自分に合う働き方を見つけたい	1
方向性	WORK	自分の名前・感性で仕事をしたい	1
方向性	AGENCY	自分の軸で決められるようになりたい	1
方向性	MOVE	新しい場所へ動きたい	1
方向性	CONNECTION	人とのつながりを育てたい	1
方向性	LIFE	仕事以外の大切なものも育てたい	0
方向性	RECOVERY	一度止まったところから立て直したい	0
なりたい姿	DO	考えるだけでなく試せる	1
なりたい姿	DO	アイデアを形にできる	1
なりたい姿	DO	人に見せながら作れる	1
なりたい姿	DO	失敗しても別の方法を試せる	1
なりたい姿	KNOW	自分の好きなことが分かる	1
なりたい姿	KNOW	力が出る環境が分かる	1
なりたい姿	KNOW	次に向かいたい方向が分かる	1
なりたい姿	CHOOSE	自分で決められる	1
なりたい姿	CHOOSE	合わないものを断れる	1
なりたい姿	CHOOSE	方向転換できる	1
なりたい姿	EXPRESS	自分の考えを言える	1
なりたい姿	EXPRESS	人にアイデアを見せられる	1
なりたい姿	EXPRESS	自分の名前で何かできる	1
なりたい姿	CONNECT	相談できる	1
なりたい姿	CONNECT	一緒に挑戦できる人がいる	1
なりたい姿	LIVE	楽しい時間が増える	1
なりたい姿	LIVE	夢中になれるものがある	1
